probe_id,primary_mean_log2_fold_change,primary_t_statistic,primary_p_value,primary_fdr,primary_significant,sensitivity_mean_log2_fold_change,sensitivity_t_statistic,sensitivity_p_value,sensitivity_fdr,sensitivity_significant,robust,direction,gene_symbol,gene_id,gene_title
224190_x_at,-0.1796718333333335,-2.9153240690245754,0.005015618974672043,0.011932336935001044,False,-0.18472169811320768,-2.8345559776968647,0.006519908487916827,0.014315730154485866,False,False,Lower in tumor,NOD1,10392,nucleotide binding oligomerization domain containing 1
224191_x_at,0.06830733333333333,1.8564880785431068,0.06837915692612463,0.11450278413940963,False,0.0784777358490566,1.9524362553442625,0.05627957080523043,0.09421283897541331,False,False,Higher in tumor,ROPN1,54763,rhophilin associated tail protein 1
224192_at,0.08541883333333335,3.399995708665517,0.0012140358947169115,0.0034036207847219333,False,0.08122603773584908,3.086489856187737,0.003243677826526608,0.00769539552049563,False,False,Higher in tumor,FCRL2,79368,Fc receptor like 2
224193_s_at,0.08743683333333328,2.3932598724197196,0.019899618781950026,0.03960519725781568,False,0.1086862264150943,3.341736315538635,0.0015477092632320726,0.003989664436589712,False,False,Higher in tumor,FCRL2,79368,Fc receptor like 2
224194_at,0.11254150000000003,3.6169776413614145,0.0006189377010748741,0.0018706699174277912,False,0.12120037735849062,4.17114998343934,0.00011529204923042172,0.0003903153431376661,False,False,Higher in tumor,FCRL2,79368,Fc receptor like 2
224195_at,-0.07537866666666666,-2.66738120032936,0.009852239600213036,0.02156150983235191,False,-0.07669867924528304,-2.8148967553862225,0.006875172891966448,0.015008986938241787,False,False,Lower in tumor,TTTY12,83867,"testis-specific transcript, Y-linked 12 (non-protein coding)"
224196_x_at,0.2209358333333334,4.307277944606686,6.33847081437079e-05,0.00024658879448962785,False,0.25872018867924534,4.721419765195784,1.8102884278308113e-05,7.375923674763366e-05,False,False,Higher in tumor,DPH5,51611,diphthamide biosynthesis 5
224197_s_at,-0.23388016666666664,-3.634204204259637,0.0005861482543513128,0.0017837947126048107,False,-0.276772075471698,-4.312970170598326,7.213970324365273e-05,0.000256502456581044,False,False,Lower in tumor,C1QTNF1,114897,C1q and tumor necrosis factor related protein 1
224198_at,0.027369833333333295,0.7038377865086662,0.4843024432180572,0.5775816036985518,False,0.00022396226415091077,0.0067889984996937465,0.99460918350836,0.9964133888214525,False,False,Higher in tumor,CELA1,1990,chymotrypsin like elastase family member 1
224199_at,0.07838966666666672,3.3972771268907396,0.0012241507214391855,0.0034269427217846695,False,0.0861428301886793,3.5753416810864245,0.000765828945895989,0.0021283839585657096,False,False,Higher in tumor,DKK2,27123,dickkopf WNT signaling pathway inhibitor 2
224200_s_at,0.13442700000000005,2.0891709809950507,0.04101440588511376,0.074055105239873,False,0.1475675471698114,2.2319865912283934,0.02994964033118124,0.05454503797699391,False,False,Higher in tumor,RAD18,56852,"RAD18, E3 ubiquitin protein ligase"
224201_s_at,0.016380333333333368,0.48906519151107386,0.6266087522509325,0.7070881187426676,False,0.016756981132075483,0.5013607174138909,0.6182332619488893,0.6952978215994141,False,False,Higher in tumor,SUFU,51684,SUFU negative regulator of hedgehog signaling
224202_at,0.04133250000000002,1.588560357079457,0.1175047275705452,0.18051618375722278,False,0.052514150943396225,1.8297075967748408,0.07302904949372942,0.11785658611734867,False,False,Higher in tumor,SUFU,51684,SUFU negative regulator of hedgehog signaling
224203_at,0.12833166666666676,3.326773970248011,0.0015160958434834572,0.004146700362304054,False,0.15042264150943407,4.104443855594763,0.000143421403346657,0.00047406838933428884,False,False,Higher in tumor,SUFU,51684,SUFU negative regulator of hedgehog signaling
224204_x_at,0.5769961666666666,5.301507892043507,1.799479427668841e-06,9.947076909088452e-06,False,0.609692830188679,5.793898457555238,4.0659817175118517e-07,2.377875178146973e-06,False,False,Higher in tumor,ARNTL2,56938,aryl hydrocarbon receptor nuclear translocator like 2
224206_x_at,-0.01373949999999997,-0.2601180960502037,0.7956783126749116,0.8478138904530695,False,0.01711283018867926,0.32441829949282414,0.7469228228208645,0.8044044543360143,False,False,Lower in tumor,MYNN,55892,myoneurin
224207_x_at,-0.18341799999999997,-2.464283969022434,0.0166612201413788,0.033940097288743885,False,-0.208622641509434,-2.760163385554498,0.007960648186298146,0.017079952893531026,False,False,Lower in tumor,MMP28,79148,matrix metallopeptidase 28
224208_at,0.040331333333333386,1.7307260325539948,0.0887280341920506,0.14277909378256956,False,0.061626792452830224,3.084821453195919,0.0032590619137329523,0.007726528927818454,False,False,Higher in tumor,PLEKHA8,84725,pleckstrin homology domain containing A8
224209_s_at,0.3858948333333333,2.7955610566249263,0.006980902197400521,0.01595322163606577,False,0.2923918867924527,2.5049568172321965,0.015418423836978968,0.030590112609290405,False,False,Higher in tumor,GDA,9615,guanine deaminase
224210_s_at,-0.24878099999999997,-2.1659469916673086,0.03436809532512419,0.06360907253989931,False,-0.2480458490566038,-2.1416875052129205,0.03692375372400277,0.0654338715305032,False,False,Lower in tumor,PXMP4,11264,peroxisomal membrane protein 4
224211_at,0.250241,6.763369421516037,6.795851636624413e-09,6.470971581895502e-08,False,0.2740909433962264,8.391936644970754,3.0737482796285626e-11,4.468417633307409e-10,False,False,Higher in tumor,FOXP3,50943,forkhead box P3
